,embedding1,embedding2
164,-44.04406,-40.677704
165,-32.727577,-72.14585
166,17.40057,-62.38076
167,-22.585985,12.826988
168,-1.8255057,-58.94131
169,-40.759907,16.54638
170,-29.081682,78.335396
171,-10.597416,-60.397305
172,-18.025654,-32.41301
173,15.051739,74.82698
174,31.707567,-2.7150297
175,-11.721912,37.38399
176,-77.936874,-20.008728
177,44.09374,-15.3447
178,-41.155228,-14.265079
179,-16.735502,7.912899
180,50.810528,-50.91758
181,-14.898133,-1.3037463
182,-29.833193,-9.365386
183,20.084373,7.5226293
184,-36.793518,-42.901283
185,26.072245,-45.739212
186,82.97524,-25.249401
187,65.87871,33.979923
188,16.826366,32.627502
189,1.1186694,0.16290377
190,-14.893484,-23.799526
191,-14.513615,-24.074772
192,-18.44031,-3.2568088
193,20.328978,-3.3971786
194,-2.114108,-0.2407546
195,-19.77622,-7.476035
196,-6.876019,-12.584947
197,-39.953365,-36.397
198,-12.27038,-82.51167
199,0.6925362,-2.0134504
200,-41.616844,48.39057
201,0.919857,46.02927
202,83.55187,-1.7393974
203,-7.3942137,-41.95483
204,-52.68436,20.680239
205,-46.947224,-45.11749
206,35.094597,-10.831582
207,54.32963,-48.727966
208,-11.122391,50.947147
209,-50.445232,-24.857948
210,60.275665,-12.048215
211,6.1269608,-12.546497
212,69.08347,-1.8581693
213,-10.251167,-18.517036
214,20.038221,25.86606
215,23.326754,19.336678
216,-38.488575,-48.302307
217,-21.55664,-25.000448
218,52.556347,40.006977
219,-24.780497,68.914116
220,-33.82486,14.924291
221,-1.914911,-81.05784
222,81.63669,20.290884
223,-76.71412,22.342281
224,-50.026672,-33.67744
225,-37.384853,-23.681908
226,37.33292,-31.7609
227,-29.041431,3.499359
228,38.2593,-3.4368236
229,79.20411,10.219022
230,-54.645035,-4.078226
231,-22.264269,-30.858137
232,41.443302,-69.28088
233,-46.91712,9.334471
234,32.62483,-24.08257
235,30.494303,20.493437
236,24.893991,21.592796
237,41.06373,-21.322884
238,47.125122,-35.13959
239,9.239289,73.418076
240,20.768988,-61.971153
241,46.431587,-48.698837
242,59.756725,-37.49754
243,17.351414,-20.276188
244,-30.25903,-57.6632
245,-21.476349,-18.865246
246,81.6435,20.266472
247,10.682623,23.986526
248,11.412167,-10.945421
249,-51.99875,59.6109
250,-31.095123,-68.17425
251,22.75859,42.376915
252,34.028893,52.120518
253,8.662857,-70.13183
254,1.5402629,-28.501095
255,-71.62777,30.665453
256,-8.408369,-46.044956
257,52.050694,-61.934677
258,26.380232,26.73392
259,-3.154644,84.65632
260,66.87715,-41.414608
261,-61.30294,46.33307
262,44.51118,50.750343
263,31.741535,65.036896
264,39.390427,27.693113
265,20.029669,7.52607
266,27.988224,26.145329
267,17.8212,-8.847268
268,-43.91063,-11.25258
269,31.93284,15.513796
270,-40.05329,64.07716
271,-26.345533,-57.80998
272,16.888454,32.612625
273,43.70415,5.2987957
