,PC1,PC2
150,4.377722,-11.846685
151,-5.8436165,1.8689604
152,-13.768115,3.3177564
153,3.5689096,-13.824972
154,-11.891982,2.9344938
155,-9.937773,-1.835582
156,16.193195,2.9681609
157,-9.80622,-3.7931864
158,-6.499815,-7.60446
159,14.0098505,6.9632163
160,3.1405141,-1.2333579
161,-15.027964,2.327762
162,17.447943,2.24738
163,2.8102877,-11.147222
164,19.299501,0.9871643
165,13.468018,4.013851
166,14.692841,-3.9847643
167,0.5732712,-6.339138
168,12.27984,-3.1434476
169,3.1543887,-8.559407
170,-4.854689,-7.7717953
171,19.798883,4.594496
172,10.02931,0.4153981
173,-13.75825,-7.1745124
174,-4.985457,7.8097486
175,-10.580903,-1.3906026
176,4.0116253,-12.908784
177,-12.251728,-1.2631471
178,19.406366,4.3069696
179,2.885646,-1.6620382
180,-14.719656,7.425436
181,9.591027,3.1630633
182,15.805946,-0.8281463
183,-0.93070614,10.501739
184,21.130016,4.5809374
185,4.569864,-2.3461945
186,-2.745096,-13.533978
187,-12.42375,8.275597
188,-14.045568,-0.80692697
189,3.3782935,7.7530394
190,13.495564,10.818358
191,8.326613,5.435202
192,11.995983,5.648785
193,-5.725493,3.6512036
194,4.9327173,8.094984
195,7.502139,-1.5661149
196,3.9466674,4.3889756
197,18.439041,-2.068895
198,8.623818,-10.982301
199,5.2319098,6.0392203
200,-9.816037,-5.805938
201,-7.2089353,8.601344
202,-1.7862611,-14.542758
203,16.584532,3.5236409
204,-1.248832,-9.43333
205,20.88234,2.4148738
206,-12.751712,3.8588068
207,-12.293861,16.756012
208,-11.835253,-2.811831
209,15.599177,4.593181
210,-11.247968,2.7700593
211,3.8879669,4.417585
212,-2.0825288,-14.761399
213,3.1821375,2.1452353
214,-9.139236,6.183699
215,-9.270634,4.946169
216,12.978521,-3.0686212
217,11.349155,4.0225806
218,-12.645466,9.559492
219,-6.089724,-10.035693
220,3.2777216,-5.9716187
221,5.8809824,-12.311636
222,-9.818919,4.274381
223,-2.6790564,-15.598341
224,16.150253,2.3109472
225,17.180042,5.0592403
226,-7.577298,4.582829
227,7.8507524,8.516362
228,-10.853526,1.9640121
229,-1.3782971,-14.214756
230,12.963666,0.71107435
231,4.626288,0.95042837
232,-0.6412798,-14.555956
233,14.264228,2.6672843
234,-7.2125783,6.3560815
235,-11.766701,5.8797994
236,-2.9933052,4.3980412
237,-11.891507,-2.8690894
238,-3.7487445,9.556802
239,-17.288595,-6.3691597
240,14.013693,-0.07235837
241,-7.8298006,7.533145
242,-12.392134,8.102256
243,-2.5178993,-1.9360334
244,23.360723,6.0566535
245,9.8022995,-1.4012674
246,-10.067289,5.100359
247,-10.613492,5.258917
248,2.3428633,-1.2382652
249,-5.2445054,-6.92783
250,14.318257,4.8169503
251,-12.551657,7.7284007
252,-6.1448665,5.914329
253,3.8258522,-9.655001
254,6.76717,1.2323076
255,-1.0294123,-12.853073
256,19.195408,0.9045334
257,-4.760854,9.406868
258,-10.366807,8.05962
259,-11.673918,-5.73485
260,-13.061292,3.384282
261,-9.470433,-12.08281
262,-4.3382096,-10.195151
263,-14.479297,-6.9045725
264,-14.138789,2.6467662
265,-0.026237648,8.117335
266,-9.739196,5.60711
267,-8.6923895,0.98378974
268,19.788113,4.8476815
269,-9.448093,10.609648
270,-4.989009,-8.956433
271,21.458609,6.4469404
272,-13.324056,1.3507017
273,-12.16793,16.237875
274,-13.447032,5.692838
275,7.975712,-1.5536586
276,-0.47520006,-11.900426
277,-14.848734,5.1953044
278,-12.702403,2.347603
279,-5.023381,-11.813913
280,13.744752,-0.06641849
281,7.919218,4.0070667
282,2.9333441,4.838801
283,-9.293355,-4.692346
284,-12.514773,8.084728
285,-4.6271033,9.974126
286,-7.941613,4.173587
287,0.86142606,-6.18711
288,-15.977344,2.5053422
289,3.9224453,7.294363
290,4.695587,-9.385688
